Kota Bandung;Kota Bandung;Kota Bandung;Kota Bandung;Kota Bandung;Kota Bandung;Kota Bandung;Kota Bandung;Kota Bandung;Kota Bandung;Kota Bandung;Kota Bandung;Kota Bandung;Kota Bandung;Kota Bandung;Kota Bandung;Kota Bandung;Kota Bandung;Kota Bandung;Kota Bandung;Kota Bandung;Kota Bandung;Kota Bandung;Kota Bandung;Kota Bandung;Kota Bandung;Kota Bandung;Kota Bandung;Kota Bandung;Kota Bandung;
ANDIR;ASTANA ANYAR;ANTAPANI;ARCAMANIK;BABAKAN CIPARAY;BANDUNG KIDUL;BANDUNG KULON;BANDUNG WETAN;BATUNUNGGAL;BOJONGLOA KALER;BOJONGLOA KIDUL;BUAH BATU;CIBEUNYING KALER;CIBEUNYING KIDUL;CIBIRU;CICENDO;CIDADAP;CINAMBO;COMBLONG;GEDEBAGE;KIARACONDONG;LENGKONG;MANDALAJATI;PANYILEUKAN;RANCASARI;REGOL;SUKAJADI;SUKASARI;SUMUR BANDUNG;UJUNGBERUNG;
Campaka;Cibadak;Antapani Kidul;Cisaranten Bina Harapan;Babakan;Batununggal;Caringin;Cihapit;Binong;Babakan Asih;Cibaduyut;Cijawura;Cigadung;Cicadas;Cipadung;Arjuna;Ciumbuleuit;Babakan Penghulu;Cipaganti;Cimincrang;Babakansari;Burangrang;Jatihandap;Cipadung Kidul;Cipamokolan;Ancol;Cipedes;Gegerkalong;Babakanciamis;Cigending;
Ciroyom;Karanganyar;Antapani Kulon;Cisaranten Endah;Babakanciparay;Kujangsari;Cibuntu;Citarum;Cibangkong;Babakan Tarogong;Cibaduyut Kidul;Jatisari;Cihaurgeulis;Cikutra;Cisurupan;Husen Sastranegara;Hegarmanah;Cisaranten Wetan;Dago;Cisaranten Kidul;Babakansurabaya;Cijagra;Karangpamulang;Cipadung Kulon;Darwati;Balonggede;Pasteur;Isola;Braga;Pasanggrahan;
Dunguscariang;Karasak;Antapani Tengah;Cisaranten Kulon;Cirangrang;Mengger;Cigondewah Kaler;Tamansari;Gumuruh;Jamika;Cibaduyut Wetan;Margasari;Neglasari;Padasuka;Palasari;Pajajaran;Ledeng;Pakemitan;Lebakgede;Rancabolang;Cicaheum;Cikawao;Pasir Impun;Cipadung Wetan;Manjahlega;Ciateul;Sukabungah;Sarijadi;Kebonpisang;Pasirendah;
Garuda;Nyengseret;Antapani Wetan;Sukamiskin;Margahayu Utara;Wates;Cigondewah Kidul;;Kacapiring;Kopo;Kebon Lega;Sekejati;Sukaluyu;Pasirlayung;Pasirbiru;Pamoyanan;;Sukamulya;Lebaksiliwangi;Rancanumpang;Kebonkangkung;Lingkar Selatan;Sindangjaya;Mekarmulya;Mekar Jaya;Cigereleng;Sukagalih;Sukarasa;Merdeka;Pasirjati;
Kebonjeruk;Panjunan;;;Margasuka;;Cigondewah Rahayu;;Kebongedang;Suka Asih;Mekarwangi;;;Sukamaju;;Pasirkaliki;;;Sadangserang;;Kebunjayanti;Malabar;;;;Ciseureuh;Sukawarna;;;Pasirwangi;
Maleber;Pelindunghewan;;;Sukahaji;;Cijerah;;Kebonwaru;;Situsaeur;;;Sukapada;;Sukaraja;;;Sekeloa;;Sukapura;Paledang;;;;Pasirluyu;;;;;
;;;;;;Gempolsari;;Maleer;;;;;;;;;;;;;Turangga;;;;Pungkur;;;;;
;;;;;;Warungmuncang;;Samoja;;;;;;;;;;;;;;;;;;;;;;
